Id, Latitude, Longitude, X, Y
766605981,39.6013303,52.5702112,4408399.92373224,6869936.96884446
766605982,39.6015765,52.5702709,4408427.33059087,6869947.87604439
792269247,39.6458327,52.5738494,4413353.90823931,6870601.69584689
792269248,39.6394464,52.573926,4412642.98857526,6870615.69184929
792271326,39.6472758,52.5737434,4413514.55339648,6870582.32805119
792620698,39.6264778,52.5735577,4411199.33062696,6870548.39797912
792620699,39.6262702,52.5733649,4411176.22070067,6870513.17078731
792620700,39.6259854,52.5732354,4411144.51690969,6870489.50945697
792620701,39.6257001,52.5731793,4411112.75745897,6870479.25928084
792622060,39.6009753,52.5696546,4408360.405313,6869835.27864995
792622062,39.6017455,52.5702627,4408446.14358481,6869946.37790214
792628742,39.6027762,52.5696725,4408560.88058397,6869838.54893965
792628785,39.6126406,52.5684597,4409658.98056895,6869616.97614383
792628789,39.612859,52.5686488,4409683.29274574,6869651.52340986
792628813,39.6021605,52.5698205,4408492.34117349,6869865.58825783
792628826,39.6023348,52.5698025,4408511.74416074,6869862.29968721
792628829,39.6025092,52.5697628,4408531.15827993,6869855.04656679
792628832,39.6026444,52.5697183,4408546.20867509,6869846.91650264
792631382,39.6030839,52.5747749,4408595.13359129,6870770.80062812
792631451,39.6079763,52.5792981,4409139.75306805,6871597.3187403
792631457,39.6078046,52.5792573,4409120.63951148,6871589.86302941
792823400,39.6196174,52.5893374,4410435.63439232,6873432.09246695
813892276,39.6539937,52.5791024,4414262.38660368,6871561.55697488
849596192,39.6243506,52.5765721,4410962.53180614,6871099.1902511
849596205,39.6217663,52.58349,4410674.84884609,6872363.37537887
849596216,39.5837415,52.5601882,4406441.94747257,6868105.9765956
849596218,39.5835085,52.5600494,4406416.01003122,6868080.62369318
849596231,39.6185424,52.5702658,4410315.96593972,6869946.94427296
849596245,39.6186336,52.5701557,4410326.11827728,6869926.82899861
849596246,39.6186605,52.5700709,4410329.11277158,6869911.33606985
849596248,39.6186444,52.5699307,4410327.32052778,6869885.72164755
849596250,39.618581,52.5697499,4410320.26287206,6869852.68976082
849596353,39.6126128,52.575575,4409655.88588711,6870916.99556184
857431971,39.6152879,52.5904829,4409953.67665693,6873641.46989657
857431977,39.6161162,52.5894885,4410045.88259116,6873459.7105978
857431991,39.6167984,52.590078,4410121.82474777,6873567.46060702
857431995,39.6155039,52.590588,4409977.72166694,6873660.68061976
857432019,39.6119511,52.5938259,4409582.22578005,6874252.54346646
858098848,39.6151007,52.5894017,4409932.83764826,6873443.84524026
858367453,39.6169472,52.5755479,4410138.389088,6870912.04378356
858367496,39.6239311,52.5777478,4410915.83327976,6871314.02490206
858367503,39.6188183,52.5807731,4410346.67898723,6871866.86199088
858367531,39.6152394,52.5802908,4409948.27766163,6871778.72491359
858367740,39.6168974,52.5754166,4410132.84537736,6870888.05236998
858367749,39.6286583,52.5783999,4411442.06277663,6871433.18507111
858367793,39.6166308,52.5765913,4410103.16760112,6871102.6986041
858367846,39.6206701,52.5773068,4410552.82042028,6871233.44067236
858367867,39.6157801,52.5743524,4410008.4681103,6870693.60216036
858367882,39.6147442,52.5816647,4409893.15224979,6872029.79845302
864815571,39.636874,52.5847971,4412356.63031715,6872602.25888131
871790416,39.6026926,52.5741047,4408551.57427454,6870648.34319326
871790424,39.6250263,52.5770642,4411037.75038607,6871189.11055682
871790434,39.597035,52.5754021,4407921.77312343,6870885.40290376
871790445,39.6013551,52.5704839,4408402.68445561,6869986.79130143
871790456,39.6036041,52.5786287,4408653.0419904,6871474.99479653
871790482,39.5987061,52.570522,4408107.7991245,6869993.75221955
871790499,39.6252587,52.5764038,4411063.62103573,6871068.43741039
871790506,39.6082765,52.5754603,4409173.17117918,6870896.03731835
871790512,39.6253463,52.5762631,4411073.37262313,6871042.72790734
871790523,39.5981321,52.5707762,4408043.90173678,6870040.19503614
871790555,39.6067206,52.5712243,4408999.96918346,6870122.0644051
871790566,39.6127128,52.5762836,4409667.01783619,6871046.47377861
871790579,39.5979252,52.5751855,4408020.86973413,6870845.82546481
871790585,39.6220705,52.582687,4410708.71223519,6872216.62393497
871790587,39.6036463,52.5700808,4408657.73967291,6869913.14479466
871790589,39.5998644,52.5708028,4408236.74049068,6870045.05492165
871790599,39.6042937,52.5784381,4408729.80791125,6871440.16552575
871790611,39.605578,52.5742505,4408872.77553328,6870674.98328085
871790624,39.6188152,52.5822294,4410346.33389681,6872132.99692338
871790625,39.59945,52.5708879,4408190.6096937,6870060.60292113
871790645,39.624711,52.5778581,4411002.65135063,6871334.18022337
871790650,39.6070954,52.5758915,4409041.69172861,6870974.82744365
871790654,39.6266939,52.5781289,4411223.38676892,6871383.66422021
871790658,39.5973753,52.5710546,4407959.65514615,6870091.05954853
871790664,39.5974417,52.5710081,4407967.04676034,6870082.56383692
871790677,39.6060259,52.5778364,4408922.6355332,6871330.21493854
871790735,39.6029997,52.5695501,4408585.76049017,6869816.18676201
871790738,39.6167114,52.5763254,4410112.13995208,6871054.11170692
871790751,39.617761,52.5850909,4410228.98088961,6872655.95428419
871790758,39.60062,52.5747284,4408320.85349793,6870762.3041921
871790761,39.6258956,52.5771681,4411134.52041942,6871208.0960955
871790767,39.5992966,52.5750893,4408173.53328381,6870828.24773637
871790776,39.5992742,52.5708058,4408171.03972722,6870045.60302923
871790796,39.6078578,52.5756167,4409126.56170839,6870924.61509383
871790802,39.627302,52.5765289,4411291.08015127,6871091.29646249
871790811,39.6201272,52.5757723,4410492.38506873,6870953.0467931
871790812,39.5988552,52.5706393,4408124.39686057,6870015.18311585
871790837,39.6272042,52.5765196,4411280.19310507,6871089.59710624
871790844,39.6024824,52.5734969,4408528.17491758,6870537.28897237
871790857,39.6124069,52.5756939,4409632.96520396,6870938.72129699
871790871,39.6259882,52.5797158,4411144.82860427,6871673.64880897
871790877,39.6225904,52.5813144,4410766.58723845,6871965.78208151
871790878,39.604801,52.5719607,4408786.28028893,6870256.60897462
871790882,39.6060963,52.5713681,4408930.47242536,6870148.33732433
871790888,39.6026286,52.5791557,4408544.44982713,6871571.29687772
871790896,39.6124451,52.5759692,4409637.2176085,6870989.02509774
891937687,39.6308231,52.5864026,4411683.0472103,6872895.68728754
891937885,39.6382858,52.584356,4412513.79117425,6872521.64335147
932247322,39.6363565,52.5738162,4412299.02248066,6870595.62970204
936995620,39.6176851,52.5898618,4410220.53174026,6873527.94296206
936995961,39.6524348,52.5796315,4414088.85064948,6871658.24385475
942737083,39.6230358,52.5762539,4410816.16893965,6871041.04683398
942737114,39.6098439,52.56683,4409347.65334905,6869319.24739605
942737200,39.6240927,52.5763813,4410933.82250947,6871064.32607704
942737246,39.624591,52.5758091,4410989.29301173,6870959.77101444
942737264,39.6159145,52.5716565,4410023.42944986,6870201.02958741
942737272,39.6239042,52.5761074,4410912.83878545,6871014.27761575
942737297,39.5815405,52.5563216,4406196.93327333,6867399.74210678
942737355,39.5816315,52.5565755,4406207.063347,6867446.11502288
